Muarrix Xondamir Alisher Navoiy Xurosonda nechta rabot hovuz ko'prik masjid-madrasa to'g'on ariq hammom va boshqa maishiy binolar qurdirganini qayd etgan, 52 / 20 / 16,53 / 25 / 20,55 / 30 / 25,59 / 35 / 40,a
O'rtamizdagi do'stlik rishtalari hamma sohalarda namoyon bo'lmoqda: har bir pravoslavning musulmon do'stlari mavjud bo‘lgani kabi ruhoniylar va imomlar o'rtasida ham do'stlik aloqalari juda baland deb kim aytgan edi?,Shavkat Mirziyoyev,Arxiyepiskop Vladimir,Alfred Mexen,Mitropolit Vladimir,d
Bir oilaning saodati va izzati albatta shu xalqning ichki intizomi va totuvligiga bog'liq. Tinchlik va totuvlik esa shu millat oilalarining intizomiga tayanadi mamlakat va millat ham shunday kuchli va tartibli bo'ladi. Ushbu fikr kimniki?, Abdurahmon Jomiy,Abdurauf Fitrat,Abdulla Avloniy,Alisher Navoiy,b
Saylov kuni o'n sakkiz yoshga to'lgan O'zbekiston Respublikasi fuqarolari saylash huquqiga egadir. O'zbekiston Respublikasining Saylov kodeksi 1-moddasi O'zbekiston Respublikasining Saylov kodeksi 2-moddasi,O'zbekiston Respublikasining Saylov kodeksi 3-moddasi,O'zbekiston Respublikasining Saylov kodeksi 4-moddasi,d
Yaxshi inson o‘zidan baxt yomon inson o‘zidan tajriba xatokor inson o‘zidan dars mukammal inson o‘zidan iz qoldiradi,.Jaloliddin Rumiy,Abdurauf Fitrat,Abdulla Avloniy,Amir Temur,a
MDH yoshlari o'rtasida bo'lib o'tgan "Yilning eng yaxshi yosh olimi 2021" xalqaro tanlovining "Mexatronika yo'nalishi bo'yicha faxrli 1-orin oltin ko'krak nishoni sohibini aniqlang?,Hazrat Salimjonov,Madina Samatboyeva,Fayzullo Yahyoyev,Farrux Fattoyev,a
Jaloliddin Rumiyning fikricha hayotda muvaffaqiyatga erishish uchun uch narsa kerak:,Sabr qunt va matonat,Diqqat intizom va harakat,Bilim harakat va g'urur,Mehnat imkoniyat va omad,b
Agar bir yilni ko'zlasangiz sholi eking. Agar 50 yilni ko'zlasangiz daraxt eking. Agar 100 yil foyda berishini ko'zlasangiz farzand tarbiyalang. Xitoy xalq hikmati,Sholi / daraxt / farzand,Guruch / archa / bola,Bug'doy / gul / o'zingizni,Barcha javoblar to'g'ri,c
Abu Nasr Forobiy: Insonning barcha mavjudotlardan farqi uning ...,Mehnatsevarligida,Axloqi va tarbiyasida,Aql-idrokliligida,Mehribon va samimiyligida,d
Gazzoliyning fikriga ko'ra qanday inson baxtli?,Bilimli va salohiyatli,Uddaburon va aqlli,Fidoiylikdan qo'rqmaydigan,Xavf-xatarlarni bartaraf etgan,a
Pul ezgulikni tug'dirmaydi, aksincha ezgulik tufayli odamlar shaxsiy hayotda ham jamiyatda ham pul va boshqa boyliklarga ega bo'ladilar.,Suqrot,Demokrit,Epikur,Aristotel,c
Insonlar o'rtasidagi o'zaro ishonch hurmat va e'tibor xalq va davlat kelajagini birgalikda qurish yo'lidagi ezgu intilishlar ibratli fazilatlar majmuasidir.,Ma'rifat,Mafkura,Ma'naviyat,Millat,a
Ma'naviyat jamiyatdagi barcha siyosiy-ijtimoiy munosabatlarning mazmuni va sifatini belgilaydigan poydevordir.,Shavkat Mirziyoyev,Islom Karimov,Amir Temur,Abdulla Avloniy,b
Qishloq xo'jaligi fanlari akademiyasi nechanchi yilda akademik Mahmud Mirzayev sharafiga nomlandi?,2012-yil,2013-yil,2014-yil,2015-yil,b
Qaysi sanada BMT Bosh Assambleyasi 73-sessiyasi 51-yig‘ilishida Ma'rifat va diniy bag‘rikenglik rezolyutsiyasi 193 ta a'zo mamlakat tomonidan yakdillik bilan qabul qilindi?,2017-yil 20-dekabr,2018-yil 12-dekabr,2019-yil 15-dekabr,2020-yil 30-dekabr,a
Galileo Galiley yashagan yillarni aniqlang?,1564 - 1642,1560 - 1660,1565 - 1652,1590 - 1632,c
Ku-Kluks-Klan — AQSHda oq irqchilik harakati bo'lib, u nechanchi asrda tashkil topgan?,XVII asrda,XVIII asrda,XIX asrda,XX asrda,c
Tinchlik va xotirjamlik ikki ulug' nematdirki bundan ko'p odamlar mahrumdirlar deb kim aytgan?,Alisher Navoiy,Ahmad Yassaviy,Imom Buhoriy,Imom Moturudiy,a
O'zbekiston Irqiy kamsitishning barcha shakllarini tugatish to'g'risidagi Xalqaro Konvensiyaga qachon qo'shilgan?,1995-yil 31-avgust,1995-yil 1-sentyabr,1996-yil 18-mart,1996-yil 12-aprel,b
