savol,a,b,c,d,javob
O‘zbekiston Respublikasi mustaqilligi qachon e’lon qilingan?,1990-yil 20-iyun,1991-yil 1-sentabr,1992-yil 8-dekabr,1991-yil 31-avgust,b
O‘zbekistonning birinchi Prezidenti kim bo‘lgan?,Shavkat Mirziyoyev,Islom Karimov,Abdulla Aripov,O‘tkir Sultonov,b
O‘zbekiston Respublikasi Konstitutsiyasi qachon qabul qilingan?,1991-yil 1-sentabr,1990-yil 20-iyun,1992-yil 8-dekabr,1991-yil 31-avgust,c
O‘zbekiston BMTga qachon a’zo bo‘lgan?,1991-yil 1-sentabr,1992-yil 2-mart,1990-yil 20-iyun,1993-yil 9-may,b
“O‘zbekiston – umumiy uyimiz” shiori qaysi soha bilan bog‘liq?,Madaniyat,Sport,Millatlararo totuvlik,Tabiat muhofazasi,c
“Yangi O‘zbekiston” tushunchasi qaysi davrga tegishli?,1990–1995-yillar,2000–2010-yillar,2016-yildan hozirgacha,1980-yillar,c
O‘zbekistonning hozirgi Prezidenti kim?,Islom Karimov,Shavkat Mirziyoyev,Abdulla Aripov,Qobul Berdiyev,b
O‘zbekistonning davlat tili nima?,Rus tili,Tojik tili,Qoraqalpoq tili,O‘zbek tili,d
O‘zbekiston qachon MDH (Mustaqil Davlatlar Hamdo‘stligi)ga qo‘shilgan?,1991-yil 21-dekabr,1990-yil 20-iyun,1992-yil 2-mart,1993-yil 1-yanvar,a
1991-yilgi davlat mustaqilligi haqidagi qonunni qaysi organ qabul qilgan?,Prezident farmoni,Vazirlar Mahkamasi qarori,Oliy Kengash qarori,Konstitutsiyaviy sud qarori,c
2000-yilda qaysi asar “O‘zbekistonning taraqqiyot yo‘li” deb nomlangan?,Islom Karimovning kitobi,Shavkat Mirziyoyevning nutqi,Vazirlar Mahkamasi qarori,O‘zbekiston Konstitutsiyasi,a
O‘zbek so‘m pul birligi qachon muomalaga kiritilgan?,1990-yil,1992-yil 2-mart,1994-yil,1995-yil,c
“Har bir insonning huquqi ustuvor” g‘oyasi qaysi davrga tegishli?,Sovet davri,Mustaqillikning dastlabki yillari,Yangi O‘zbekiston davri,Amir Temur davri,c
O‘zbekiston Respublikasi davlat madhiyasi matnini kim yozgan?,Abdulla Oripov,Erkin Vohidov,Muhammad Yusuf,Rauf Parfi,a
O‘zbekistonning davlat bayrog‘idagi ko‘k rang nimani anglatadi?,Yashillik,Tog‘lar,Osmon va suv,Mustaqillik,c
O‘zbekistonning poytaxti qaysi shahar?,Buxoro,Samarqand,Andij
